恒大水晶国际广场	22000 元/平方米	西湖之浦路与枫桦路交叉口往南100米处
新湖菲林	14800 元/平方米	余杭文一西路和上仓路交叉口南侧
华元花涧堂	20000 元/平方米	余杭临平望梅路和汀城路交叉口
万通时尚公馆	15000 元/平方米	余杭未来科技城创景路和余杭塘南路交汇处（梦想小镇旁）
新时代城市家园	价格待定	余杭闲林西路和闲富中路交界处
滨江钱塘艺墅	价格待定	上城复兴路与之江路交汇处
锦上豪庭	价格待定	余杭广厦天都城核心区内
湘湖居	价格待定	萧山杭州休博园区［湘湖版块］
易辰江南大院	价格待定	临安青山湖锦北街道潘山村
金隅Smart	价格待定	下沙经济技术开发区24号大街与19号交汇处东南角
万通上园新新家园	价格待定	余杭冯家浜路和上园路交叉口东南角
中企艮山府	价格待定	江干运河东路498号
众安白马御府	价格待定	萧山萧山区金城路育才路交叉口（萧山医院旁）
东南钱江蓝湾	价格待定	萧山宁围镇顺坝村
佳兆业西溪璞园	12000 元/平方米	余杭天目山西路和联胜路口向南约100米（杭州西溪印象城西南面）
西溪泊岸	价格待定	余杭文一西路与荆常大道的交叉口
天城府	价格待定	江干新风路与石桥路交叉路口
东日晴好	价格待定	西湖科海路与狐山路交叉口（杭州市委党校北侧）
丰隆?百翘香江	价格待定	下沙经济技术开发区云涛北路与凌云街交汇处（启源小学旁）
华元西溪欢乐城	价格待定	余杭五常大道与华丰路口
众安学君里	价格待定	余杭天目山西路和东西大道交汇处
祥生云溪新语	价格待定	西湖杭州市之江国家旅游度假区文景路与碧波路交叉口
上实海上海	价格待定	余杭古墩路与金汇南路交汇处
滨江华成大江之星	价格待定	萧山萧山江东开发区河庄街道新港路南侧（河庄形象城旁）
万科杭宸	价格待定	余杭杭行路好运路交叉口
中国铁建德信君宸	价格待定	萧山建设二路与金鸡路交汇处
复泰雅宸华庭	价格待定	余杭鸬鸟镇鸬鸟镇政府旁
广宇万科公园里	20000 元/平方米	拱墅沈半路与桃源街交叉口(上海福山外国语小学旁)
九龙仓珑玺	价格待定	拱墅莫干山路与方家埭路交叉口
万科堂前	价格待定	余杭勾良路笤溪交汇处西南200米
金地西溪风华	价格待定	余杭五常街道常二路与方桥路交叉口西北侧
招商雍和府	价格待定	江干江干区兴建路与园区路交汇处
富力十号院	价格待定	余杭文二西路高教路交叉口
象牙海岸	价格待定	上城秋涛路和之江路交汇处
万科星空	价格待定	余杭文一西路与常二路交叉口向北800米
碧桂园滨湖城	价格待定	海宁市人民大道与新城大道交叉口（余杭体育馆向东2公里）
新天地G193广场	13000 元/平方米	下城长浜路（原东新东路）与安桥路交叉口
龙湖滨江天街	50000 元/平方米	滨江滨江区江南大道与江虹路交叉口
远景城市e谷	17 万元/套	余杭钱江经济开发区兴国路506号（兴国路与南公河路路口）
富越香郡盈座	11000 元/平方米	拱墅湖州街（申花路）与杭行路交叉口
杭州滨江宝龙城市广场	18000 元/平方米	滨江火炬大道以东，江南大道以北，滨盛路以南
西溪八方城	12000 元/平方米	余杭文一西路荆长路以东200米
西溪银泰城	价格待定	西湖文一西路与崇仁路交叉口北200米（双龙路与崇仁路交汇处）
绿城西子田园牧歌	17000 元/平方米	拱墅田园区块
宝龙城市广场	45 万元/套	下沙2号大街与25号大街交叉口（浙江工商大学对面）
保亿围庐	350 万元/套	余杭文一西路上仓路南
城发云锦城	9500 元/平方米	江干丁桥长睦路北段
丰盛九玺	500 万元/套	西湖三墩镇池华街与吉鸿路交叉口
嘉和银领时代	6500 元/平方米	余杭星桥镇藕花洲大街
九悦江南	6500 元/平方米	萧山市心南路地铁2号线朝阳村站以北约150米处
东方御府	34000 元/平方米	江干凤起东路与御道路交叉口东南
耀达金鼎华庭	6500 元/平方米	余杭勾庄农副产品物流中心北
黄龙金茂悦	32000 元/平方米	拱墅益乐路和余杭塘路交叉口
恒大帝景	17000 元/平方米	萧山晨晖路与育才路交叉口
朗诗花漫里	10800 元/平方米	余杭地铁1号线乔司站西向300米
融信蓝孔雀	22000 元/平方米	拱墅石祥路与莫干山路交叉口
赞成龙兴道一号	7800 元/平方米	余杭南苑街道新颜南路与龙兴街交叉口
杭钢尚堂府	15000 元/平方米	拱墅科祥街50号（石祥路拱康路口）
越秀星汇尚城	16000 元/平方米	余杭锦江路和上园路的交叉口
钱塘玫瑰湾	24000 元/平方米	滨江滨文路与新浦路交界
越秀星汇悦城	14000 元/平方米	余杭古墩路与吴王路交叉口
农房尚海湾	14000 元/平方米	萧山育才路与晨辉路交叉口西南侧（吕才庄公交站）
滨江华家池	50000 元/平方米	江干东至艮秋立交桥、秋涛北路，南至浙江大学
绿城桃源小镇	380 万元/套	余杭天目山西路圣地路口
钱江御府	38000 元/平方米	上城秋涛路与候潮路交叉口东北角
昆仑华府	9000 元/平方米	余杭东至张家坝港，南至新104国道防护林，西至下门坝港，北至康良路
中豪七格	8500 元/平方米	下沙下沙路与下沙南路交叉口
融创大家侯潮府	45000 元/平方米	江干上城区候潮路与钱江路交叉口东北面
龙湖旭辉春江悦茗	23000 元/平方米	萧山风情大道和月明路交叉口（售楼处位于江南大道和江虹路交叉口）
竹径云山	228 万元/套	余杭古墩路与东西大道交叉口西行3公里
未来城二期	12500 元/平方米	余杭古墩路与疏港路交叉口
天阳凤起	35000 元/平方米	江干凤起东路与三新路交叉口往北160米处
顺发旭辉国悦府	24000 元/平方米	萧山萧棉路与市心路交叉口向西100米
远洋万和四季	20000 元/平方米	江干江干区环站东路与花园兜街交汇处东北侧
新城??	16000 元/平方米	余杭文二西路与常二路交叉口
新城香悦半岛	13000 元/平方米	萧山晨晖路与育才路交叉口
万科郡西澜山	19000 元/平方米	余杭东邻风情大道,北侧为郡西别墅,南侧为自然山体
万科锦云坊	11000 元/平方米	余杭古墩路与东西大道向西三公里
绿都金域东方	7200 元/平方米	萧山规划东方路与规划东方东路交叉口东南角
天城府	价格待定	富阳 银湖街道江干区新风路与秋石快速路交叉口
杭州新明KID MALL	40000 元/平方米	拱墅小河路花园岗街路口
杭州来福士广场	40000 元/平方米	江干东至相樟街,南至富春路,北至民心路,西至新业路
华联星光时代	20000 元/平方米	滨江闻涛路以南，滨盛路以北，光辉路以东，星飞路以西
交投绿城明珠国际	28000 元/平方米	江干钱江新城五星路198号（五星路和市民街交叉口）
中赢康康谷	22000 元/平方米	滨江滨江区江汉路和春晓路交汇处
向江来时代中心	18000 元/平方米	江干塘工局路与严家弄路交叉口
金色西溪商务中心	15000 元/平方米	西湖花蒋路与双龙街交叉口
歌山品悦府	19500 元/平方米	滨江西兴街道古塘路32号（河畔花园对面）
融科瑷颐湾	16500 元/平方米	余杭杭行路与祥园北路交汇处（万达广场北行800米）
华润新鸿基之江九里	18000 元/平方米	之江国家旅游度假区之江路与碧波路交叉口
盈都江悦城	6000 元/平方米	下沙江东大桥畔，春潮路东侧，春石路北侧
大家之江悦	21000 元/平方米	之江枫桦西路与碧波路交叉口西南角
